municerca,date,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom
MUNICERCA 3,2021-08-04,0.001717442530207336,12.292563681403445,2.6109612192488068,6.34574662595111,19.760608845515527,-3.805029084119532,-0.3689213760035105,-1.070580266007812,-1.3464707134586116,1.496919338137054
MUNICERCA 3,2021-08-05,0.0,13.029711485256367,5.088046790517163,7.271258694441048,20.55984869891378,-0.23792082147879734,0.7533756418522338,0.47715007069057036,0.700078138885493,1.4301103362835712
MUNICERCA 3,2021-08-06,0.00855700857937336,15.469275668886883,7.4614910648922965,10.17958530861171,22.870103951019534,-0.5975882229912612,2.198747638491377,0.4890012787442246,1.988757536259279,4.016045113128907
MUNICERCA 3,2021-08-07,0.001725554233416915,17.492049890594487,8.401512663657298,11.609422642616568,24.668261123515393,-0.37138831226362123,5.030004602508548,5.106847825575037,3.4702957166183053,7.481519993958102
MUNICERCA 3,2021-08-08,33.902503712589265,12.88987348480758,7.0702862617311055,7.6161806985531175,17.74025799278642,16.65920179116864,3.3021700872686517,3.3478868276149534,1.826265062702423,4.228130307239544
MUNICERCA 3,2021-08-09,14.406958318011986,8.098863165711885,2.166919633619238,6.2919574088493215,11.417903728023784,8.272681322597327,-0.4505520623900571,0.03246029437142815,2.521974498693072,-3.1032178268807287
MUNICERCA 3,2021-08-10,0.41691640647959743,7.531700823500083,-0.8214091935250651,1.1608014807734903,13.800237780530342,0.21941636860167354,-3.2410198736909424,-3.7034625260525433,-4.285254291795953,-4.335775674330768
MUNICERCA 3,2021-08-11,0.007673450279980898,8.651724516966109,-0.9249316466845169,2.2167751413792978,15.816757063824726,0.0013048238069232965,-2.8926612235259697,-2.9693389494879803,-4.129473231016536,-1.9677712022343026
MUNICERCA 3,2021-08-12,0.014645864255726337,9.13507910556724,-0.7526752126740552,3.699106277580369,14.770976917820327,0.005372418649494648,-2.747659219763707,-2.1773228565050964,-2.8638338537130346,-3.6175850938984233
MUNICERCA 3,2021-08-13,0.015455740503966808,8.920435326305766,0.801361824457651,2.7272656952149714,15.269564946711686,0.006881439709104598,-3.6305462588789674,-1.905011803895428,-4.294715777224265,-4.132793722993173
