WKT;gid
"MULTILINESTRING ((-63.2642796384574 -32.4192932759699,-63.2635749658756 -32.4200886835304))";"221"
"MULTILINESTRING ((-63.2652740007715 -32.4198779849135,-63.2662499526234 -32.4204885779097))";"222"
"MULTILINESTRING ((-63.2652740007715 -32.4198779849135,-63.2645439050481 -32.4207038131896))";"223"
"MULTILINESTRING ((-63.2635749658756 -32.4200886835304,-63.2645439050481 -32.4207038131896))";"224"
"MULTILINESTRING ((-63.2635749658756 -32.4200886835304,-63.262545957446 -32.4212322799521))";"225"
"MULTILINESTRING ((-63.2662499526234 -32.4204885779097,-63.2655135100325 -32.4213239837135))";"226"
"MULTILINESTRING ((-63.2645439050481 -32.4207038131896,-63.2655135100325 -32.4213239837135))";"227"
"MULTILINESTRING ((-63.2645439050481 -32.4207038131896,-63.2638219862866 -32.421530972677))";"228"
"MULTILINESTRING ((-63.2655135100325 -32.4213239837135,-63.2662274819846 -32.4217786742604))";"229"
"MULTILINESTRING ((-63.2638219862866 -32.421530972677,-63.2647945376089 -32.4221393294986))";"230"
"MULTILINESTRING ((-63.2655135100325 -32.4213239837135,-63.2647945376089 -32.4221393294986))";"231"
"MULTILINESTRING ((-63.2592774765002 -32.4123056287091,-63.2603734956631 -32.413012328668))";"232"
"MULTILINESTRING ((-63.2622828878034 -32.4128370353781,-63.2633395004021 -32.4135083524365))";"233"
"MULTILINESTRING ((-63.2622828878034 -32.4128370353781,-63.2614781289262 -32.413714221786))";"234"
"MULTILINESTRING ((-63.2603734956631 -32.413012328668,-63.2614668393735 -32.4137069409974,-63.2614781289262 -32.413714221786))";"235"
"MULTILINESTRING ((-63.2603734956631 -32.413012328668,-63.2595479355954 -32.413945905451))";"236"
"MULTILINESTRING ((-63.2595479355954 -32.413945905451,-63.2600199593003 -32.4142490040608))";"237"
"MULTILINESTRING ((-63.2633395004021 -32.4135083524365,-63.2625882058939 -32.4143695742751))";"238"
"MULTILINESTRING ((-63.2614781289262 -32.413714221786,-63.2624954838357 -32.4143614592382,-63.2625882058939 -32.4143695742751))";"239"
"MULTILINESTRING ((-63.2600199593003 -32.4142490040608,-63.2606475938204 -32.4146534970336))";"240"
"MULTILINESTRING ((-63.2614781289262 -32.413714221786,-63.2606475938204 -32.4146534970336))";"241"
"MULTILINESTRING ((-63.2595479355954 -32.413945905451,-63.2587301602061 -32.4148938888325))";"242"
"MULTILINESTRING ((-63.2625882058939 -32.4143695742751,-63.2618839280676 -32.4151581706194))";"243"
"MULTILINESTRING ((-63.2600199593003 -32.4142490040608,-63.2591904045019 -32.4152035073186))";"244"
"MULTILINESTRING ((-63.2606475938204 -32.4146534970336,-63.2617322961794 -32.4153324381039))";"245"
"MULTILINESTRING ((-63.2606475938204 -32.4146534970336,-63.2598925492389 -32.4155409924629))";"246"
"MULTILINESTRING ((-63.2591904045019 -32.4152035073186,-63.2594773530677 -32.4153965234908,-63.2598925492389 -32.4155409924629))";"247"
"MULTILINESTRING ((-63.2618839280676 -32.4151581706194,-63.262855441817 -32.4157668159596))";"248"
"MULTILINESTRING ((-63.2618839280676 -32.4151581706194,-63.2611796251267 -32.4159676046277))";"249"
"MULTILINESTRING ((-63.2598925492389 -32.4155409924629,-63.2601040291934 -32.4156184844067,-63.2611796251267 -32.4159676046277))";"250"
"MULTILINESTRING ((-63.2611796251267 -32.4159676046277,-63.2621382153388 -32.4165908906179))";"251"
"MULTILINESTRING ((-63.262855441817 -32.4157668159596,-63.2621382153388 -32.4165908906179))";"252"
"MULTILINESTRING ((-63.2621382153388 -32.4165908906179,-63.2631041148843 -32.4172006276347))";"253"
"MULTILINESTRING ((-63.2621382153388 -32.4165908906179,-63.2614443759146 -32.4173807318866))";"254"
